prefix,marker
ANN,annanan
ARI,ariana
ASH,ashley_
AUT,autumn
AVE,aveline
AZU,azulk
A_C,a_coltzan
BER,berta
BIG,bigking
BLA,blahblah
BOB,bobita
BRA,brandons
BUB,bubbles
CHI,chiab
CIN,cinamion
CLA,clarus
COC,cocoac
CRA,crash_
CUD,cuddlybea
CYN,cynthia
DOP,dopi_
DRA,dragon
DUE,duel
FLO,flopny
FOF,fofita
FRA,frankin
FUJ,fujin
GRE,greenbut
GUI,guido_
JUB,jubychub
KIL,killz
KOK,koki
KRA,krazy_
KUK,kuky
KYL,kyle_
LEY,leylan
LIG,light_
LLA,llama_
LOC,locolucky
LUC,lucas_
LYO,lyoko_
L__,l__a
MAT,matilde
MEE,meercaj
MIC,micil
MOE,moehogc
MRL,mrlup
MUH,muhaam
MYF,myFallen
PIN,pinky
PLU,plunger
POK,pokey
PRE,prettypretty
PTE,pteritaz
PUF,puffie
RIX,rixy
ROB,robie
RUB,rubyredo
RYK,ryke
SEN,senhor
SHA,shampoozle
SIL,sillypot
SKE,skeithfabio
SLI,slingtok
SME,smell_
SNI,snick_
SOF,sofi_
SPA,spankaroonie
SQU,squigglesDS
STA,stanley
SUG,sugaa
SWE,sweetacarar
SYN,synnth
TIG,tigret
TOC,toctoc
TRA,trasa
TUF,tufst
TWI,twiggle
TYL,tylerch
_ST,_stripe
_TO,_tonu_
__G,__goku_
