prefix,marker
ANN,ann
ARI,ariah
ASH,ashley_
AUT,autra
AVA,ava_
AZU,azulk
A_C,a_chia
BER,berry
BIG,bigfoot_
BLA,blahblah
BOB,bobinas_
BRA,brandons
BUB,bubbles
CHE,chewy
CIN,cinamion
CLA,clarry
COC,cocoac
CRA,crash_
CUD,cuddlybea
CYN,cynthia
DON,donovan
DRA,dragon
DUD,dudu
FLO,floec
FOF,fofita
FRA,frankie_
FUJ,fujery
GRE,greem
GUI,guido_
JUB,jublie
KIL,killer_
KOK,koki
KRA,krazyk
KUK,kukulu
KYL,kyle_
LEX,lexi
LIG,lightning_
LLA,llama_
LOC,locobo
LUC,lucas_
LYN,lyn_
L__,l__a
MAT,matheus
MEE,meercaj
MIC,mich_
MOE,moehogc
MRL,mrleafy
MUH,muhaam
NUV,nuvem
PIN,pinko
PLU,plumper
POK,pokepet
PRE,prettypretty
PTE,pteritaz
PUF,puffery
RIU,riu_
ROB,robie
RUB,rubyredo
RYI,ryits
SEL,sello_
SHA,shampoozle
SIL,sillypot
SKE,skeithfabio
SLI,slingtok
SME,smell_
SNI,snickle
SOF,sofi_
SPA,spankaroonie
SQU,squigglesDS
STA,stanley
SUG,sugaa
SWE,sweetacarar
SYN,syndi_
TIG,tigrer
TOC,toctoc
TRA,trapt
TUF,tuff_
TWI,twiggle
TYL,tylerch
_ST,_sterling
_TO,_tonu_
__G,__gennyfer
